occurrence_id,value,bin,procedure,local_role,context
41,0,behavioral,setup-parameters,setup-parameters::risk-premium-peak,set risk-premium-peak 0
42,-1,behavioral,setup-parameters,setup-parameters::tick-military-pause-start,set tick-military-pause-start -1
43,-1,behavioral,setup-parameters,setup-parameters::tick-military-pause-window-start,set tick-military-pause-window-start -1
44,-1,behavioral,setup-parameters,setup-parameters::tick-military-deescalation-window-start,set tick-military-deescalation-window-start -1
45,-1,behavioral,setup-parameters,setup-parameters::tick-awrp-recovery,set tick-awrp-recovery -1
46,-1,behavioral,setup-parameters,setup-parameters::tick-price-recovery,set tick-price-recovery -1
47,0,behavioral,setup-parameters,setup-parameters::managed-stalemate-streak,set managed-stalemate-streak 0
48,1.0,behavioral,setup-parameters,setup-parameters::tau-m-rate,set tau-m-rate 1.0
49,0,behavioral,setup-parameters,setup-parameters::recent-strike-history,set recent-strike-history (list 0 0 0)
50,0,behavioral,setup-parameters,setup-parameters::recent-strike-history,set recent-strike-history (list 0 0 0)
51,0,behavioral,setup-parameters,setup-parameters::recent-strike-history,set recent-strike-history (list 0 0 0)
52,0,behavioral,setup-parameters,setup-parameters::recent-major-strike-history,set recent-major-strike-history (list 0 0 0)
53,0,behavioral,setup-parameters,setup-parameters::recent-major-strike-history,set recent-major-strike-history (list 0 0 0)
54,0,behavioral,setup-parameters,setup-parameters::recent-major-strike-history,set recent-major-strike-history (list 0 0 0)
55,0,scale-bound,setup-parameters,setup-parameters::commercial-non-normalization-score,set commercial-non-normalization-score 0
56,0,behavioral,setup-parameters,setup-parameters::ticks-in-ms-conditions,set ticks-in-ms-conditions 0
57,-1,behavioral,setup-parameters,setup-parameters::tick-awrp-recovery-frac,set tick-awrp-recovery-frac -1
58,-1,behavioral,setup-parameters,setup-parameters::tick-price-recovery-frac,set tick-price-recovery-frac -1
59,0,behavioral,setup-parameters,setup-parameters::ticks-since-major-strike,set ticks-since-major-strike 0
60,-1,behavioral,setup-parameters,setup-parameters::tick-price-recovery-frac-strict,set tick-price-recovery-frac-strict -1
61,0.25,behavioral,setup-parameters,setup-parameters::market-shock-build-up-rate,set market-shock-build-up-rate 0.25
62,0,behavioral,setup-parameters,setup-parameters::market-recovery-rate-current,set market-recovery-rate-current 0
63,0,behavioral,setup-parameters,setup-parameters::risk-premium-gross-signal,set risk-premium-gross-signal 0
64,0,behavioral,setup-parameters,setup-parameters::risk-premium-reassurance-signal,set risk-premium-reassurance-signal 0
65,0,behavioral,setup-parameters,setup-parameters::risk-premium-target,set risk-premium-target 0
66,0,behavioral,setup-parameters,setup-parameters::risk-premium-gap,set risk-premium-gap 0
67,0,behavioral,setup-parameters,setup-parameters::risk-premium-post-peak-ticks,set risk-premium-post-peak-ticks 0
68,0,behavioral,setup-parameters,setup-parameters::risk-premium-decay-ticks,set risk-premium-decay-ticks 0
69,0,behavioral,setup-parameters,setup-parameters::risk-premium-post-deescalation-ticks,set risk-premium-post-deescalation-ticks 0
70,0,behavioral,setup-parameters,setup-parameters::risk-premium-post-deescalation-decay-ticks,set risk-premium-post-deescalation-decay-ticks 0
71,-1,behavioral,setup-parameters,setup-parameters::tick-price-recovery-20pct,set tick-price-recovery-20pct -1
72,-1,behavioral,setup-parameters,setup-parameters::tick-first-managed-stalemate,set tick-first-managed-stalemate -1
73,0,behavioral,setup-parameters,setup-parameters::diplomacy-bridge-events,set diplomacy-bridge-events 0
74,-1,behavioral,setup-parameters,setup-parameters::first-backchannel-tick,set first-backchannel-tick -1
75,-1,behavioral,setup-parameters,setup-parameters::first-ceasefire-talks-tick,set first-ceasefire-talks-tick -1
76,-1,behavioral,setup-parameters,setup-parameters::first-fragile-arrangement-tick,set first-fragile-arrangement-tick -1
77,0,behavioral,setup-parameters,setup-parameters::ticks-in-no-talks,set ticks-in-no-talks 0
78,0,behavioral,setup-parameters,setup-parameters::ticks-in-backchannel,set ticks-in-backchannel 0
79,0,behavioral,setup-parameters,setup-parameters::ticks-in-ceasefire-talks,set ticks-in-ceasefire-talks 0
80,0,behavioral,setup-parameters,setup-parameters::ticks-in-fragile-arrangement,set ticks-in-fragile-arrangement 0
81,4,behavioral,setup-geography,setup-geography::water?,if abs pycor <= 4 [ set water? true ]
82,2,behavioral,setup-geography,setup-geography::lane?,if abs pycor <= 2 [ set lane? true ]
83,87,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 87 ]
84,95,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 95 ]
85,35,behavioral,recolor-patch,recolor-patch::pcolor,[ set pcolor 35 ]
86,1,inert,setup-actors,setup-actors::_,create-state-actors 1 [
87,2,behavioral,setup-actors,setup-actors::size,set size 2
88,3,behavioral,setup-actors,setup-actors::_,setxy (min-pxcor + 3) (max-pycor - 2)
89,2,behavioral,setup-actors,setup-actors::_,setxy (min-pxcor + 3) (max-pycor - 2)
90,0.33,behavioral,setup-actors,setup-actors::risk-tolerance,set risk-tolerance 0.33
91,0.78,behavioral,setup-actors,setup-actors::electoral-proximity,set electoral-proximity 0.78
92,0.40,behavioral,setup-actors,setup-actors::belief-iran-bluffing,set belief-iran-bluffing 0.40
93,0,behavioral,setup-actors,setup-actors::regime-stability,set regime-stability 0
94,0,behavioral,setup-actors,setup-actors::asymmetric-assets,set asymmetric-assets 0
95,0,behavioral,setup-actors,setup-actors::economic-buffer,set economic-buffer 0
96,0,behavioral,setup-actors,setup-actors::belief-us-will-invade,set belief-us-will-invade 0
97,0,behavioral,setup-actors,setup-actors::security-perception,set security-perception 0
98,0,behavioral,setup-actors,setup-actors::tolerance-us-friction,set tolerance-us-friction 0
99,1,inert,setup-actors,setup-actors::_,create-state-actors 1 [
100,2,behavioral,setup-actors,setup-actors::size,set size 2
101,0,behavioral,setup-actors,setup-actors::_,setxy 0 (max-pycor - 2)
102,2,behavioral,setup-actors,setup-actors::_,setxy 0 (max-pycor - 2)
103,0,behavioral,setup-actors,setup-actors::risk-tolerance,set risk-tolerance 0
104,0,behavioral,setup-actors,setup-actors::electoral-proximity,set electoral-proximity 0
105,0,behavioral,setup-actors,setup-actors::belief-iran-bluffing,set belief-iran-bluffing 0
106,0.35,behavioral,setup-actors,setup-actors::economic-buffer,set economic-buffer 0.35
107,0.20,behavioral,setup-actors,setup-actors::belief-us-will-invade,set belief-us-will-invade 0.20
108,0,behavioral,setup-actors,setup-actors::security-perception,set security-perception 0
109,0,behavioral,setup-actors,setup-actors::tolerance-us-friction,set tolerance-us-friction 0
110,1,inert,setup-actors,setup-actors::_,create-state-actors 1 [
111,2,behavioral,setup-actors,setup-actors::size,set size 2
112,3,behavioral,setup-actors,setup-actors::_,setxy (max-pxcor - 3) (max-pycor - 2)
113,2,behavioral,setup-actors,setup-actors::_,setxy (max-pxcor - 3) (max-pycor - 2)
114,0,behavioral,setup-actors,setup-actors::risk-tolerance,set risk-tolerance 0
115,0,behavioral,setup-actors,setup-actors::electoral-proximity,set electoral-proximity 0
116,0,behavioral,setup-actors,setup-actors::belief-iran-bluffing,set belief-iran-bluffing 0
117,0,behavioral,setup-actors,setup-actors::regime-stability,set regime-stability 0
118,0,behavioral,setup-actors,setup-actors::asymmetric-assets,set asymmetric-assets 0
119,0,behavioral,setup-actors,setup-actors::economic-buffer,set economic-buffer 0
120,0,behavioral,setup-actors,setup-actors::belief-us-will-invade,set belief-us-will-invade 0
121,1,behavioral,setup-initial-mines,setup-initial-mines::_,sprout-mines 1 [
122,2,display,setup-initial-mines,setup-initial-mines::color,set color red + 2
123,0.8,behavioral,setup-initial-mines,setup-initial-mines::size,set size 0.8
124,0,behavioral,go,go::deadline-remaining,set deadline-remaining max (list 0 (deadline-remaining - 1))
125,1,behavioral,go,go::deadline-remaining,set deadline-remaining max (list 0 (deadline-remaining - 1))
126,1,behavioral,update-state-counters,update-state-counters::ticks-in-selective-passage,set ticks-in-selective-passage ticks-in-selective-passage + 1
127,1,behavioral,update-state-counters,update-state-counters::ticks-in-contested-reopening,set ticks-in-contested-reopening ticks-in-contested-reopening + 1
128,1,behavioral,update-state-counters,update-state-counters::ticks-in-partial-closure,set ticks-in-partial-closure ticks-in-partial-closure + 1
129,1,behavioral,update-state-counters,update-state-counters::ticks-in-no-talks,set ticks-in-no-talks (ticks-in-no-talks + 1)
130,1,behavioral,update-state-counters,update-state-counters::ticks-in-backchannel,set ticks-in-backchannel (ticks-in-backchannel + 1)
131,1,behavioral,update-state-counters,update-state-counters::ticks-in-ceasefire-talks,set ticks-in-ceasefire-talks (ticks-in-ceasefire-talks + 1)
132,1,behavioral,update-state-counters,update-state-counters::ticks-in-fragile-arrangement,set ticks-in-fragile-arrangement (ticks-in-fragile-arrangement + 1)
133,-1,behavioral,update-state-counters,update-state-counters::first-backchannel-tick,if first-backchannel-tick = -1 [ set first-backchannel-tick ticks ]
134,-1,behavioral,update-state-counters,update-state-counters::first-ceasefire-talks-tick,if first-ceasefire-talks-tick = -1 [ set first-ceasefire-talks-tick ticks ]
135,-1,behavioral,update-state-counters,update-state-counters::first-fragile-arrangement-tick,if first-fragile-arrangement-tick = -1 [ set first-fragile-arrangement-tick ticks ]
136,0,behavioral,update-state-counters,update-state-counters::ticks-since-major-strike,[ set ticks-since-major-strike 0 ]
137,1,behavioral,update-state-counters,update-state-counters::ticks-since-major-strike,[ set ticks-since-major-strike (ticks-since-major-strike + 1) ]
138,1,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::misperception-count,if us-observed-iran-action != last-iran-action and last-iran-action !=   [ set misperception-count (misperception-count + 1) ]
139,1,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::misperception-count,if iran-observed-us-action != last-us-action and last-us-action !=   [ set misperception-count (misperception-count + 1) ]
140,1,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::misperception-count,if israel-observed-iran-action != last-iran-action and last-iran-action !=   [ set misperception-count (misperception-count + 1) ]
141,1,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::misperception-count,if israel-observed-us-action != last-us-action and last-us-action !=   [ set misperception-count (misperception-count + 1) ]
142,0.15,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.15 0.85) ]
143,0.85,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.15 0.85) ]
144,0.55,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.55 0.45) ]
145,0.45,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.55 0.45) ]
146,0.62,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.62 0.32) ]
147,0.32,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.62 0.32) ]
148,0.25,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.25 0.72) ]
149,0.72,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.25 0.72) ]
150,0.10,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.10 0.80) ]
151,0.80,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.10 0.80) ]
152,0.18,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.18 0.78) ]
153,0.78,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.18 0.78) ]
154,0.20,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.20 0.75) ]
155,0.75,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-iran-bluffing,ask us-agent [ set belief-iran-bluffing (bayes-update belief-iran-bluffing 0.20 0.75) ]
156,0.90,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.90 0.40) ]
157,0.40,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.90 0.40) ]
158,0.95,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.95 0.10) ]
159,0.10,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.95 0.10) ]
160,0.70,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.70 0.45) ]
161,0.45,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.70 0.45) ]
162,0.15,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.15 0.60) ]
163,0.60,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::belief-us-will-invade,ask iran-agent [ set belief-us-will-invade (bayes-update belief-us-will-invade 0.15 0.60) ]
164,0.05,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.05) 0 1) ]
165,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.05) 0 1) ]
166,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.05) 0 1) ]
167,0.03,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
168,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
169,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
170,0.01,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.01) 0 1) ]
171,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.01) 0 1) ]
172,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.01) 0 1) ]
173,0.02,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.02) 0 1) ]
174,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.02) 0 1) ]
175,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception + 0.02) 0 1) ]
176,0.03,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
177,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
178,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.03) 0 1) ]
179,0.04,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.04) 0 1) ]
180,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.04) 0 1) ]
181,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::security-perception,ask israel-agent [ set security-perception (bound (security-perception - 0.04) 0 1) ]
182,0.40,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::_,if security-perception < 0.40 [
183,0.02,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,set tolerance-us-friction (bound (tolerance-us-friction + 0.02) 0 1)
184,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,set tolerance-us-friction (bound (tolerance-us-friction + 0.02) 0 1)
185,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,set tolerance-us-friction (bound (tolerance-us-friction + 0.02) 0 1)
186,0.01,behavioral,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,ask israel-agent [ set tolerance-us-friction (bound (tolerance-us-friction - 0.01) 0 1) ]
187,0,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,ask israel-agent [ set tolerance-us-friction (bound (tolerance-us-friction - 0.01) 0 1) ]
188,1,scale-bound,observe-and-update-beliefs,observe-and-update-beliefs::tolerance-us-friction,ask israel-agent [ set tolerance-us-friction (bound (tolerance-us-friction - 0.01) 0 1) ]
189,-999999,behavioral,decide-us-action,decide-us-action::_,let best-u -999999
190,-999999,behavioral,decide-israel-action,decide-israel-action::_,let best-u -999999
191,-999999,behavioral,decide-iran-action,decide-iran-action::_,let best-u -999999
192,0,behavioral,us-utility-of,us-utility-of::_,let degradation 0
193,0,behavioral,us-utility-of,us-utility-of::_,let casualties 0
194,0,behavioral,us-utility-of,us-utility-of::_,let oil-impact 0
195,0,behavioral,us-utility-of,us-utility-of::degradation,set degradation 0
196,0,behavioral,us-utility-of,us-utility-of::casualties,set casualties 0
197,-18,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact -18
198,0.01,behavioral,us-utility-of,us-utility-of::degradation,set degradation 0.01
199,0.01,behavioral,us-utility-of,us-utility-of::casualties,set casualties 0.01
200,3,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 3
201,0.05,behavioral,us-utility-of,us-utility-of::degradation,set degradation 0.05
202,0.02,behavioral,us-utility-of,us-utility-of::casualties,set casualties 0.02
203,8,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 8
204,0.18,behavioral,us-utility-of,us-utility-of::degradation,set degradation (0.18 + (belief * 0.20))
205,0.20,behavioral,us-utility-of,us-utility-of::degradation,set degradation (0.18 + (belief * 0.20))
206,0.05,behavioral,us-utility-of,us-utility-of::casualties,set casualties 0.05
207,15,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 15
208,0.65,behavioral,us-utility-of,us-utility-of::degradation,set degradation 0.65
209,0.55,behavioral,us-utility-of,us-utility-of::casualties,set casualties 0.55
210,35,behavioral,us-utility-of,us-utility-of::oil-impact,set oil-impact 35
211,100,behavioral,us-utility-of,us-utility-of::_,let political-cost ((projected-oil / 100) * elect)
212,0.40,behavioral,us-utility-of,us-utility-of::_,let alpha 0.40
213,0.60,behavioral,us-utility-of,us-utility-of::_,let beta 0.60
214,0.80,behavioral,us-utility-of,us-utility-of::_,let gamma 0.80
215,0.90,behavioral,us-utility-of,us-utility-of::_,let delta 0.90
216,150,behavioral,us-utility-of,us-utility-of::_,- (beta * (projected-oil / 150))
217,110,behavioral,us-utility-of,us-utility-of::u,if projected-oil > 110 [ set u (u + 0.25) ]
218,0.25,behavioral,us-utility-of,us-utility-of::u,if projected-oil > 110 [ set u (u + 0.25) ]
219,0.20,behavioral,us-utility-of,us-utility-of::u,if belief < 0.20 [ set u (u + 0.10) ]
220,0.10,behavioral,us-utility-of,us-utility-of::u,if belief < 0.20 [ set u (u + 0.10) ]
221,0.35,behavioral,us-utility-of,us-utility-of::u,if military-degradation > 0.35 [ set u (u + 0.10) ]
222,0.10,behavioral,us-utility-of,us-utility-of::u,if military-degradation > 0.35 [ set u (u + 0.10) ]
223,0.65,behavioral,us-utility-of,us-utility-of::u,if strait-throughput > 0.65 [ set u (u + 0.08) ]
224,0.08,behavioral,us-utility-of,us-utility-of::u,if strait-throughput > 0.65 [ set u (u + 0.08) ]
225,0.35,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.35 [ set u (u - 0.25) ]
226,0.25,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.35 [ set u (u - 0.25) ]
227,0.40,behavioral,us-utility-of,us-utility-of::u,if insurance-availability < 0.40 [ set u (u - 0.18) ]
228,0.18,behavioral,us-utility-of,us-utility-of::u,if insurance-availability < 0.40 [ set u (u - 0.18) ]
229,0.50,behavioral,us-utility-of,us-utility-of::u,if permission-factor < 0.50 [ set u (u - 0.12) ]
230,0.12,behavioral,us-utility-of,us-utility-of::u,if permission-factor < 0.50 [ set u (u - 0.12) ]
231,0,behavioral,us-utility-of,us-utility-of::u,if recent-iran-escalation-streak > 0 [ set u (u - 0.12) ]
232,0.12,behavioral,us-utility-of,us-utility-of::u,if recent-iran-escalation-streak > 0 [ set u (u - 0.12) ]
233,0.10,behavioral,us-utility-of,us-utility-of::u,set u (u + (diplomatic-momentum * 0.10))
234,0.18,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.18 [ set u (u + 0.12) ]
235,0.12,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.18 [ set u (u + 0.12) ]
236,0.20,behavioral,us-utility-of,us-utility-of::u,if us-casualties > 0.20 [ set u (u + 0.10) ]
237,0.10,behavioral,us-utility-of,us-utility-of::u,if us-casualties > 0.20 [ set u (u + 0.10) ]
238,2,behavioral,us-utility-of,us-utility-of::u,if deadline-remaining <= 2 and strait-throughput < 0.30 [ set u (u + 0.10) ]
239,0.30,behavioral,us-utility-of,us-utility-of::u,if deadline-remaining <= 2 and strait-throughput < 0.30 [ set u (u + 0.10) ]
240,0.10,behavioral,us-utility-of,us-utility-of::u,if deadline-remaining <= 2 and strait-throughput < 0.30 [ set u (u + 0.10) ]
241,0.08,behavioral,us-utility-of,us-utility-of::u,set u (u + (risk * 0.08))
242,0.18,behavioral,us-utility-of,us-utility-of::u,if military-deescalation-window? [ set u (u - 0.18) ]
243,0.85,behavioral,us-utility-of,us-utility-of::u,if elect > 0.85 [ set u (u - 0.20) ]
244,0.20,behavioral,us-utility-of,us-utility-of::u,if elect > 0.85 [ set u (u - 0.20) ]
245,0.40,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.40 [ set u (u + 0.10) ]
246,0.10,behavioral,us-utility-of,us-utility-of::u,if strait-throughput < 0.40 [ set u (u + 0.10) ]
247,0,behavioral,us-utility-of,us-utility-of::_,report (u + random-normal 0 decision-noise)
248,70,behavioral,iran-utility-of,iran-utility-of::_,let economic-leverage (((brent-crude-price - 70) / 100)
249,100,behavioral,iran-utility-of,iran-utility-of::_,let economic-leverage (((brent-crude-price - 70) / 100)
250,1,behavioral,iran-utility-of,iran-utility-of::_,+ ((1 - insurance-availability) * 0.35)
251,0.35,behavioral,iran-utility-of,iran-utility-of::_,+ ((1 - insurance-availability) * 0.35)
252,1,behavioral,iran-utility-of,iran-utility-of::_,+ ((1 - permission-factor) * 0.22)
253,0.22,behavioral,iran-utility-of,iran-utility-of::_,+ ((1 - permission-factor) * 0.22)
254,0.25,behavioral,iran-utility-of,iran-utility-of::_,+ (market-memory * 0.25))
255,0,behavioral,iran-utility-of,iran-utility-of::_,let sovereignty-loss 0
256,0,behavioral,iran-utility-of,iran-utility-of::_,let asset-cost 0
257,0.06,behavioral,iran-utility-of,iran-utility-of::economic-leverage,set economic-leverage (economic-leverage + 0.06)
